TREE_ID,OBJECTID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
22951,4235,400 GUADALUPE ST,Quercus fusiformis,Escarpment Live Oak,38,38,Good,Park,Republic Square,3112724.893350000027567,10070550.877199999988079
22952,4236,400 GUADALUPE ST,Quercus fusiformis,Escarpment Live Oak,45,38,Fair,Park,Republic Square,3112740.921860000118613,10070564.202600000426173
22953,4237,400 W 4TH ST,Quercus virginiana,Southern Live Oak,16,23,Good,ROW,,3112933.111109999939799,10070454.564699999988079
22954,4238,400 W 4TH ST,Quercus virginiana,Southern Live Oak,13,23,Fair,ROW,,3112902.909729999955744,10070464.043999999761581
22955,4239,400 W 4TH ST,Quercus virginiana,Southern Live Oak,12,23,Good,ROW,,3112876.8284200001508,10070474.253299999982119
22956,4240,400 W 4TH ST,Quercus virginiana,Southern Live Oak,15,23,Good,ROW,,3112854.808780000079423,10070484.118100000545382
22957,4241,400 W 4TH ST,Quercus virginiana,Southern Live Oak,24,23,Good,ROW,,3112791.025770000182092,10070502.026499999687076
22958,4242,400 W 4TH ST,Quercus virginiana,Southern Live Oak,14,23,Fair,ROW,,3112826.678909999784082,10070490.846400000154972
22959,4243,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,23,Fair,ROW,,3112591.963500000070781,10070555.184200000017881
22960,4244,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112566.687959999777377,10070562.024399999529123
22961,4245,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112546.572519999928772,10070567.588700000196695
22962,4246,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,23,Good,ROW,,3112525.736599999945611,10070572.981799999251962
22963,4247,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,8,Fair,ROW,,3112505.138220000080764,10070579.501800000667572
22964,4248,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112479.718319999985397,10070586.443399999290705
22965,4249,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,23,Fair,ROW,,3112462.105489999987185,10070590.13429999910295
22966,4250,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112442.919180000200868,10070597.461100000888109
22967,4251,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,23,Fair,ROW,,3112425.809960000216961,10070602.294099999591708
22968,4252,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,8,Fair,ROW,,3112406.635790000203997,10070607.3429000005126
22969,4253,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112389.038709999993443,10070612.095200000330806
22970,4254,500 W 4TH ST,Ulmus crassifolia,Cedar Elm,4,23,Fair,ROW,,3112369.986909999977797,10070617.171599999070168
22971,4255,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112694.533179999794811,10070827.024599999189377
22972,4256,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Fair,ROW,,3112672.424949999898672,10070833.838199999183416
22973,4257,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Fair,ROW,,3112651.650059999898076,10070839.693499999120831
22974,4258,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112631.147150000091642,10070845.638100000098348
22975,4259,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112611.428359999787062,10070850.481200000271201
22976,4260,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,23,Good,ROW,,3112588.326040000189096,10070856.868699999526143
22977,4261,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Fair,ROW,,3112563.140720000024885,10070865.571399999782443
22978,4262,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112538.217869999818504,10070872.081900000572205
22979,4263,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112517.24546999996528,10070878.53690000064671
